settlement,Date,SD_Observed_quantity_cassava,SD_Observed_price_cassava,SD_Observed_quantity_dodo,SD_Observed_price_dodo,SD_Observed_quantity_fish,SD_Observed_price_fish,SD_Observed_quantity_firewood,SD_Observed_price_firewood,SD_Observed_quantity_charcoal,SD_Observed_price_charcoal,SD_Country
Adjumani,Oct-19,0.21602469,0,0.057735027,500,0.025,1500,1.154700538,0,0.057735027,577.3502692,
Adjumani,Nov-19,0.354310195,0,0.11792855,458.0626907,0.023145502,1982.062418,,,,,
Adjumani,Dec-19,0.161834719,0,0.121498579,626.7831705,0,1253.566341,,,,,
Adjumani,Jan-20,0.258843582,516.3977795,0.054772256,1080.12345,0,1048.808848,,,,,
Arua/Rhino Camp,Oct-19,0.351188458,577.3502692,0.251661148,346.4101615,0.070710678,424.2640687,572.7603542,573.3088173,0.2,0,
Arua/Rhino Camp,Nov-19,0.886942313,377.964473,0.267261242,229.5181288,0.04472136,758.2875444,,,,,
Arua/Rhino Camp,Dec-19,1.838477631,707.1067812,0.141421356,70.71067812,,,,,,,
Arua/Rhino Camp,Jan-20,,,0,0,0,2753.785274,,,,,
Arua/Rhino Camp,Feb-20,,,,,,,,,,,
Arua/Rhino Camp,Mar-20,1.060660172,0,,,0,2121.320344,0.754983444,0,0.305505046,0,
Bidibidi,Oct-19,0.565685425,0,0.2,115.4700538,0.1,2000,,,0.173205081,0,
Bidibidi,Nov-19,0.835246289,60.30226892,0.198746069,131.0216267,0.10304432,1521.36795,,,,,
Bidibidi,Dec-19,0.469337595,0,0.243014917,150,0.256900944,828.0786712,1.405850869,0,451.5157152,250,
Bidibidi,Jan-20,0.532929735,138.6750491,0.230506688,0,0.249937355,1069.044968,,,,,
Bidibidi,Feb-20,0.04472136,0,0.048795004,0,0.034156503,0,,,,,
Bidibidi,Mar-20,0.145732959,0,0.040311289,0,0.041403934,0,0.65748891,250,0.286356421,0,
Imvepi,Oct-19,,,0.510979452,0,0.01767767,0,,,0.707106781,0,
Imvepi,Nov-19,,707.1067812,241.4678699,257.2750983,0.203531324,1428.869017,,,,,
Imvepi,Dec-19,0,0,0.164011033,585.1332775,0.280416357,6833.739825,0,250,1.357080199,204.1241452,
Imvepi,Jan-20,,,,,,,,,,,
Imvepi,Feb-20,,,,,,31819.80515,,,,,
Kiryandongo,Nov-19,,,,,,,,,,,
Kiryandongo,Dec-20,,,,,,,,,,,
Kiryandongo,Feb-20,0.070710678,0,0.141421356,0,0.070710678,0,,,,,
Kiryandongo,Mar-20,0.353553391,0,0,0,0,0,,,,,
Koboko/Lobule,Oct-19,0.141421356,0,0.642910051,0,0.057735027,0,4.301550108,0,0.2081666,0,
Koboko/Lobule,Nov-19,0.207364414,0,0.331159579,0,0.054772256,774.5966692,,,,,
Koboko/Lobule,Dec-19,,,,,,,,,,,
Koboko/Lobule,Mar-20,0.141421356,0,0.212132034,353.5533906,0.1,500,4.358898944,0,0.577350269,264.5751311,
Kyaka II,Oct-19,0,0,,,0.212132034,0,,,0.353553391,0,
Kyaka II,Nov-19,,,,,,,,,,,
Kyaka II,Dec-19,0.244948974,577.3502692,,,0.103077641,0,,,0.469041576,0,
Kyaka II,Jan-20,0.251661148,0,,,0.1,2598.076211,,,,,
Kyaka II,Feb-20,0.529150262,0,0.282842712,0,0.05,0,,,,,
Kyaka II,Mar-20,0.485626743,0,0.282842712,0,0.057735027,0,,,0.262995564,250,
Kyangwali,Oct-19,0.253666448,0,0.067527772,0,0.107455417,3044.120015,1.183568052,0,0,0,
Kyangwali,Nov-19,1.632993162,106.8488028,0,654.0259934,0,4132.634349,,,,,
Kyangwali,Dec-19,0,201.8055995,0,147.1960144,0,8467.447471,0,152.7525232,0,229.1287847,
Kyangwali,Jan-20,0,109.2906421,0,263.3913438,0,3080.899941,,,,,
Kyangwali,Feb-20,0,235.5843798,0,212.1320344,0,5761.944116,,,,,
Kyangwali,Mar-20,0,41.83300133,0,44.72135955,0,1048.808848,,,,,
Nakivale,Nov-19,0.115470054,0,0,0,0,0,,,,,
Nakivale,Dec-19,0.057735027,0,0,0,0.010606602,0,,,,,
Nakivale,Jan-20,0,230.9401077,,,,,,,,,
Nakivale,Feb-20,0.8326664,0,0.282842712,0,0.042426407,0,,,,,
Oruchinga,Oct-19,,,,,,,,,,,
Oruchinga,Nov-19,,,,,,,,,,,
Oruchinga,Dec-19,0.321455025,0,0.360555128,0,0.018610033,0,,,,,
Oruchinga,Jan-20,0,0,,,,,,,,,
Oruchinga,Feb-20,0.251661148,0,0.1,0,0.052915026,0,,,,,
Oruchinga,Mar-20,0.1,0,0.1,0,0.011547005,288.6751346,,,0.230940108,0,
Palabek,Oct-19,0.070710678,0,0.152752523,0,,,,,0.75055535,0,
Palabek,Nov-19,1.102513362,0,0.205287255,0,0.046188022,1527.525232,,,,,
Palabek,Dec-19,0.492119719,0,0.145443618,0,0.078881064,881.9171037,1.00166528,0,407.6523588,408.2482905,
Palabek,Jul-19,,,,,,,,,,,
Palabek,Jan-20,0.211057941,0,0.065133895,0,0.151910905,518.8745217,,,,,
Palabek,Feb-20,0.206587927,0,0.057735027,0,0.05,433.0127019,,,,,
Palorinya,Oct-19,0.529150262,0,0.1,57.73502692,0.057735027,2516.611478,0.353553391,0,0.2081666,0,
Palorinya,Nov-19,0.565685425,0,0.089442719,240.8318916,0.054772256,2738.612788,,,,,
Palorinya,Dec-19,0.152752523,0,0.057735027,0,0.028867513,0,0,0,0,0,
Palorinya,Jan-20,0.986576572,577.3502692,0.384707681,0,0.132916014,0,,,,,
Palorinya,Feb-20,0.353553391,0,0,0,0.141421356,707.1067812,,,,,
Palorinya,Mar-20,0.1,0,0.085391256,0,0.040824829,0,,1258.305739,,500,
Rwamwanja,Nov-19,,,,,,,,,,,
Rwamwanja,Dec-19,,,,,,,,,,,
Rwamwanja,Jan-20,0.636396103,707.1067812,,,0.070710678,1414.213562,,,,,
Rwamwanja,Feb-20,0.141421356,707.1067812,,,0,3181.980515,,,,,
Rwamwanja,Mar-20,0.353553391,0,0.070710678,0,0.070710678,0,,,0.070710678,0,
